TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_ESCOLA,IN_TREINEIRO,NU_NOTA_REDACAO,Q001,Q002,Q006,Q025
3,F,3,2,0,760.0,B,E,D,B
3,F,1,3,0,660.0,F,G,G,B
3,M,3,2,0,0.0,C,F,L,B
5,F,3,1,0,520.0,E,E,C,B
5,F,2,1,0,840.0,A,B,H,B
3,F,0,2,0,760.0,H,G,G,B
11,F,3,1,0,440.0,B,E,A,B
12,F,3,1,0,440.0,B,B,C,B
3,F,3,2,0,640.0,C,E,B,A
4,F,1,1,0,920.0,E,E,E,B
7,M,1,1,0,520.0,A,B,B,B
6,M,3,1,0,560.0,B,B,D,B
4,F,1,1,0,860.0,E,F,I,B
3,F,3,2,0,480.0,C,D,F,B
2,F,3,2,0,820.0,D,G,I,B
2,M,2,3,0,280.0,E,G,G,B
15,F,2,1,0,440.0,H,A,B,B
7,F,2,1,0,520.0,B,C,B,B
3,M,1,3,0,860.0,H,E,C,B
4,F,1,2,0,840.0,C,E,E,B
4,M,1,1,0,940.0,E,D,G,B
3,F,3,2,0,540.0,C,D,A,B
8,M,2,1,0,540.0,C,C,F,B
3,F,1,1,0,920.0,F,F,I,B
3,F,3,1,0,480.0,D,E,A,B
3,M,1,2,0,440.0,E,E,B,B
11,M,1,1,0,520.0,C,D,H,B
3,M,3,2,0,580.0,H,D,C,B
4,F,2,1,0,580.0,H,E,D,B
3,F,3,2,0,400.0,B,B,B,A
5,F,1,1,0,620.0,C,E,B,B
2,M,3,2,0,680.0,E,E,C,B
4,F,2,1,0,280.0,D,E,C,B
4,M,1,1,0,900.0,H,E,D,B
3,M,1,1,0,860.0,G,D,H,B
5,F,3,1,0,500.0,D,G,G,B
3,M,2,2,0,380.0,C,E,C,B
3,F,1,2,0,680.0,B,B,B,B
2,F,2,2,0,560.0,E,E,B,B
3,F,3,3,0,900.0,C,F,I,B
4,M,1,1,0,940.0,G,G,G,B
4,F,0,1,0,900.0,G,G,Q,B
3,F,3,2,0,600.0,D,E,D,B
3,F,1,2,0,380.0,E,G,G,B
10,F,1,1,0,620.0,G,E,D,B
9,F,1,1,0,820.0,E,B,B,B
3,F,3,1,0,440.0,E,E,F,B
3,F,3,2,0,580.0,E,C,D,B
5,F,3,1,0,880.0,F,E,H,B
3,M,3,2,0,460.0,E,E,E,B
11,F,2,1,0,580.0,E,F,D,B
14,F,1,1,0,600.0,C,B,C,B
3,M,3,2,0,320.0,B,B,D,B
6,M,4,2,0,340.0,C,B,C,B
3,F,3,2,0,600.0,B,E,C,B
4,M,3,1,0,560.0,C,E,B,B
3,M,1,2,0,880.0,D,F,I,B
6,F,3,1,0,920.0,B,F,B,B
3,M,3,2,0,820.0,E,E,C,B
3,F,3,2,0,0.0,D,G,B,B
13,F,3,1,0,660.0,A,A,A,B
11,F,3,1,0,460.0,B,B,C,A
2,F,2,3,0,560.0,E,E,H,B
6,F,1,1,0,920.0,D,C,F,B
4,F,3,1,0,820.0,C,C,D,B
10,F,3,1,0,960.0,E,E,F,B
2,F,3,2,0,640.0,C,E,E,B
2,F,1,2,0,660.0,D,H,B,B
3,F,0,2,0,480.0,E,E,C,B
13,M,2,1,0,580.0,E,E,P,B
2,F,1,2,0,940.0,B,B,C,B
5,M,3,1,0,820.0,E,E,G,B
12,F,2,1,0,480.0,C,D,D,B
9,F,1,1,0,420.0,C,C,B,A
4,M,2,1,0,520.0,E,C,C,B
2,M,1,3,0,560.0,G,G,O,B
5,F,1,1,0,540.0,E,B,F,B
3,M,1,3,0,660.0,G,F,Q,B
5,F,3,1,0,680.0,D,E,D,B
2,M,1,2,0,500.0,F,F,F,B
3,F,1,2,0,500.0,C,B,C,B
2,F,3,3,0,900.0,E,E,F,B
4,M,1,1,0,680.0,E,E,E,B
3,F,1,2,0,560.0,H,D,B,B
2,F,1,3,0,720.0,D,F,H,B
6,M,3,2,0,600.0,H,B,B,B
3,F,3,2,0,760.0,E,G,C,B
3,M,1,3,0,880.0,G,G,Q,B
10,F,3,1,0,540.0,C,C,F,B
3,F,1,3,0,960.0,C,E,F,B
3,F,3,1,0,800.0,C,C,B,B
3,M,1,1,0,960.0,F,F,I,B
8,F,3,1,0,840.0,E,D,C,B
4,F,3,1,0,320.0,D,C,B,B
2,M,1,3,0,740.0,G,F,G,B
2,F,2,2,0,480.0,D,D,C,B
2,M,1,2,0,620.0,C,C,C,B
4,F,1,1,0,880.0,G,G,I,B
2,M,1,3,0,800.0,E,G,K,B
